To learn about increasing the verbosity of the NGen log files please see http://go.microsoft.com/fwlink/?linkid=210113
08/21/2019 18:24:11.078 [16068]: Failed to load dependency Microsoft.SqlTools.Telemetry.Interop of assembly SqlWorkbench.Interfaces, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.146 [16068]: Failed to load dependency Microsoft.SqlServer.Management.RegisteredServers of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.152 [16068]: Failed to load dependency Microsoft.SqlServer.SqlTDiagM of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.153 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.160 [16068]: Failed to load dependency Microsoft.NetEnterpriseServers.ExceptionMessageBox of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.161 [16068]: Failed to load dependency Microsoft.SqlServer.Management.HelpViewer of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.162 [16068]: Failed to load dependency Microsoft.ExceptionMessageBox of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.163 [16068]: Failed to load dependency Microsoft.ExceptionMessageBox of assembly Microsoft.SqlServer.Management.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.165 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.166 [16068]: Failed to load dependency Microsoft.SqlServer.Diagnostics.STrace of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.167 [16068]: Failed to load dependency Microsoft.SqlServer.Smo of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.167 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.169 [16068]: Failed to load dependency Microsoft.AnalysisServices.SPClient.Interfaces of assembly Microsoft.AnalysisServices.AdomdClient, Version=15.17.1.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:17.175 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly Microsoft.SqlServer.Management.SDK.SqlStudio, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.176 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly Microsoft.SqlServer.Management.SDK.SqlStudio, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:17.177 [16068]: Failed to load dependency Microsoft.SqlServer.SqlTDiagM of assembly Microsoft.SqlServer.Management.SDK.SqlStudio, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.121 [16068]: Failed to load dependency Microsoft.SqlServer.XE.Core of assembly Microsoft.SqlServer.XEvent.Linq, Version=15.100.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.402 [16068]: Failed to load dependency Microsoft.Azure.KeyVault.Core of assembly Microsoft.WindowsAzure.Storage, Version=9.3.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.403 [16068]: Failed to load dependency Newtonsoft.Json of assembly Microsoft.WindowsAzure.Storage, Version=9.3.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.510 [16068]: Failed to load dependency Microsoft.NetEnterpriseServers.ExceptionMessageBox of assembly NetShareEnum, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.690 [16068]: Failed to load dependency Microsoft.SqlServer.GridControl of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.691 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.695 [16068]: Failed to load dependency Microsoft.SqlServer.Smo of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.696 [16068]: Failed to load dependency Microsoft.SqlServer.SqlEnum of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.697 [16068]: Failed to load dependency Microsoft.SqlServer.Dmf of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.702 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.703 [16068]: Failed to load dependency Microsoft.SqlServer.RegSvrEnum of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.704 [16068]: Failed to load dependency Microsoft.SqlServer.DlgGrid of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.707 [16068]: Failed to load dependency Microsoft.SqlServer.Diagnostics.STrace of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.712 [16068]: Failed to load dependency Microsoft.VisualStudio.Shell.15.0 of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.719 [16068]: Failed to load dependency Microsoft.SqlTools.Telemetry.Interop of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.720 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Platform of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.721 [16068]: Failed to load dependency Microsoft.SqlServer.Dmf.Common of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.722 [16068]: Failed to load dependency Microsoft.SqlTools.TelemetryPackage of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.732 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Collector of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.740 [16068]: Failed to load dependency Microsoft.SqlServer.SqlTDiagM of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.741 [16068]: Failed to load dependency Microsoft.NetEnterpriseServers.ExceptionMessageBox of assembly ObjectExplorer, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.764 [16068]: Failed to load dependency Microsoft.SqlServer.RegSvrEnum of assembly SqlWorkbench.Interfaces, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.765 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly SqlWorkbench.Interfaces, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.766 [16068]: Failed to load dependency Microsoft.SqlTools.Telemetry.Interop of assembly SqlWorkbench.Interfaces, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.874 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.874 [16068]: Failed to load dependency Microsoft.SqlServer.RegSvrEnum of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.876 [16068]: Failed to load dependency Microsoft.SqlServer.SString of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.876 [16068]: Failed to load dependency Microsoft.SqlServer.Management.ServiceManagement of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.877 [16068]: Failed to load dependency Microsoft.SqlServer.Management.AzureAuthenticationManagement of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.878 [16068]: Failed to load dependency Microsoft.SqlServer.Management.ApplicationAuthenticationManagement of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.879 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Azure.UI of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.880 [16068]: Failed to load dependency Microsoft.SqlServer.Management.RegisteredServers of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.881 [16068]: Failed to load dependency Microsoft.SqlServer.SqlTDiagM of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.882 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.885 [16068]: Failed to load dependency Microsoft.NetEnterpriseServers.ExceptionMessageBox of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.886 [16068]: Failed to load dependency Microsoft.SqlServer.Management.HelpViewer of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.887 [16068]: Failed to load dependency Microsoft.ExceptionMessageBox of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.889 [16068]: Failed to load dependency Microsoft.ExceptionMessageBox of assembly Microsoft.SqlServer.Management.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.890 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.891 [16068]: Failed to load dependency Microsoft.SqlServer.Diagnostics.STrace of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.891 [16068]: Failed to load dependency Microsoft.SqlServer.Smo of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.892 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.894 [16068]: Failed to load dependency Microsoft.AnalysisServices.SPClient.Interfaces of assembly Microsoft.AnalysisServices.AdomdClient, Version=15.17.1.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.895 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.899 [16068]: Failed to load dependency Microsoft.SqlServer.WizardFramework of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.900 [16068]: Failed to load dependency Microsoft.SqlServer.DlgGrid of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.901 [16068]: Failed to load dependency Microsoft.SqlServer.Smo of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.902 [16068]: Failed to load dependency Microsoft.SqlServer.SqlEnum of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.902 [16068]: Failed to load dependency Microsoft.SqlServer.RegSvrEnum of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.903 [16068]: Failed to load dependency Microsoft.SqlServer.Management.AzureAuthenticationManagement of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.907 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.908 [16068]: Failed to load dependency Microsoft.SqlServer.Management.ServiceManagement of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.909 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Azure.UI of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.910 [16068]: Failed to load dependency Microsoft.SqlServer.Management.ApplicationAuthenticationManagement of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.911 [16068]: Failed to load dependency Microsoft.SqlServer.SString of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.911 [16068]: Failed to load dependency Microsoft.NetEnterpriseServers.ExceptionMessageBox of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.912 [16068]: Failed to load dependency Microsoft.SqlServer.GridControl of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.914 [16068]: Failed to load dependency Microsoft.SqlTools.Telemetry.Interop of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.915 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Platform of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.916 [16068]: Failed to load dependency Microsoft.SqlServer.Management.HelpViewer of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.917 [16068]: Failed to load dependency Microsoft.VisualStudio.Shell.15.0 of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.944 [16068]: Failed to load dependency Microsoft.SqlServer.DataStorage of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.945 [16068]: Failed to load dependency Microsoft.VisualStudio.Threading of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.948 [16068]: Failed to load dependency Microsoft.VisualStudio.Shell.10.0 of assembly Microsoft.AnalysisServices.Graphing, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.958 [16068]: Failed to load dependency Microsoft.Azure.KeyVault.Core of assembly Microsoft.WindowsAzure.Storage, Version=9.3.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.959 [16068]: Failed to load dependency Newtonsoft.Json of assembly Microsoft.WindowsAzure.Storage, Version=9.3.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:18.960 [16068]: Failed to load dependency Microsoft.SqlServer.WizardFramework of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.961 [16068]: Failed to load dependency Microsoft.SqlServer.Smo of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.962 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.963 [16068]: Failed to load dependency Microsoft.NetEnterpriseServers.ExceptionMessageBox of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.963 [16068]: Failed to load dependency Microsoft.SqlServer.SqlEnum of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:18.964 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
